cellBC	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9
f3_DEW113_bcEAXU	40	0	8	26	26	26	49	65	0	3
f3_DEW113_bcEKUY	0	0	3	58	59	57	50	66	0	3
f3_DEW113_bcENJI	0	0	8	28	28	27	23	30	12	3
f3_DEW113_bcENJP	5	5	6	6	6	6	6	6	4	7
f3_DEW113_bcEWRT	0	0	9	0	0	0	0	0	0	7
f3_DEW113_bcEXVT	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcEYDG	0	0	3	11	0	11	11	11	6	3
f3_DEW113_bcEYTM	0	0	3	8	8	8	8	8	0	3
f3_DEW113_bcEZNA	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcFABV	0	0	3	57	57	55	47	63	0	6
f3_DEW113_bcFCTQ	29	0	8	40	42	41	36	45	23	23
f3_DEW113_bcFEVT	27	18	21	59	60	58	51	67	0	22
f3_DEW113_bcFEZE	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcFJVN	41	0	30	0	0	0	0	0	0	26
f3_DEW113_bcFMBN	17	11	15	25	25	25	22	27	0	18
f3_DEW113_bcFSUP	26	17	20	36	38	37	33	41	20	13
f3_DEW113_bcFWMA	0	0	3	11	0	11	11	11	6	3
f3_DEW113_bcFXGN	0	0	3	57	57	55	47	63	0	6
f3_DEW113_bcFZUG	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcGKFV	5	5	6	6	6	6	6	6	4	7
f3_DEW113_bcGOSH	0	0	8	28	28	27	23	30	12	3
f3_DEW113_bcGQQW	24	0	8	60	61	59	52	68	0	13
f3_DEW113_bcGWKQ	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcGZWQ	42	0	9	61	62	60	53	69	34	7
f3_DEW113_bcHBBW	5	5	6	6	6	6	6	6	4	7
f3_DEW113_bcHBRQ	43	0	9	15	14	15	14	16	0	10
f3_DEW113_bcHEVO	44	31	8	0	63	0	0	4	0	3
f3_DEW113_bcHFZU	0	0	3	8	8	8	8	8	0	3
f3_DEW113_bcHGBE	26	17	20	36	38	37	33	41	20	13
f3_DEW113_bcIDET	0	0	9	15	14	15	14	16	0	7
f3_DEW113_bcIDVU	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcIESL	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcACGF	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcADBT	0	22	23	43	44	42	38	47	24	7
f3_DEW114_bcAHRZ	0	0	3	20	20	20	0	58	29	3
f3_DEW114_bcALIV	0	0	3	46	47	44	40	50	26	3
f3_DEW114_bcANAH	0	0	3	11	0	11	11	11	6	3
f3_DEW114_bcANDS	26	17	20	36	38	37	33	41	20	13
f3_DEW114_bcAQAN	11	0	9	12	11	12	12	12	0	10
f3_DEW114_bcAWUS	14	0	7	27	27	8	8	8	0	19
f3_DEW114_bcAXGK	0	0	3	46	47	44	40	50	26	3
f3_DEW114_bcAXLY	5	5	6	6	6	6	6	6	4	7
f3_DEW114_bcAXNO	45	0	9	56	56	0	0	0	0	7
f3_DEW114_bcAZBH	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcAZRP	11	0	9	12	11	12	12	12	0	10
f3_DEW114_bcBDQN	29	32	31	62	64	61	0	70	35	23
f3_DEW114_bcBIEE	23	15	19	34	36	35	31	38	18	10
f3_DEW114_bcBIMY	26	17	20	36	38	37	33	41	20	13
f3_DEW114_bcBLOV	46	0	8	18	65	62	54	71	36	13
f3_DEW114_bcBSIA	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcBTNQ	26	17	20	36	38	37	33	41	20	13
f3_DEW114_bcBWOL	16	0	12	22	22	22	19	24	0	16
f3_DEW114_bcCHEE	0	0	3	11	0	11	11	11	6	3
f3_DEW114_bcCIAM	20	29	28	54	54	51	0	29	0	3
f3_DEW114_bcCILL	0	0	3	11	0	11	11	11	6	3
f3_DEW114_bcCJSB	30	0	3	15	14	15	14	16	0	3
f3_DEW114_bcCOZE	5	5	6	6	6	6	6	6	4	7
f3_DEW114_bcCRQK	47	33	32	63	0	3	0	39	0	3
f3_DEW114_bcDCPM	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcDFPR	29	0	8	40	42	41	36	45	23	23
f3_DEW114_bcDSCH	0	0	3	11	0	11	11	11	6	3
f3_DEW114_bcDSFY	46	0	8	64	66	52	44	60	31	13
f3_DEW114_bcDTZM	9	7	8	16	15	16	15	17	8	3
f3_DEW114_bcDWAQ	0	0	3	46	47	44	40	50	26	3
f3_DEW114_bcDZPJ	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcEEAN	0	0	8	0	0	63	55	72	37	3
f3_DEW114_bcELKI	0	0	9	20	20	20	0	22	0	10
f3_DEW114_bcEUNX	0	0	12	0	0	0	0	0	0	24
f3_DEW114_bcEYGD	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcFIJI	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcGAQH	0	0	3	0	0	0	0	22	0	3
f3_DEW114_bcGAVW	0	0	3	0	0	0	56	73	0	3
f3_DEW114_bcGCZM	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcGHYN	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcGNAL	5	5	6	6	6	6	6	6	4	7
f3_DEW114_bcGSCY	5	5	6	6	6	6	6	6	4	7
f3_DEW114_bcHBPL	11	0	9	12	11	12	12	12	0	10
f3_DEW114_bcHDJN	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcHEMV	32	0	8	65	0	0	56	73	0	13
f3_DEW114_bcHFLA	26	17	20	36	38	37	33	41	20	13
f3_DEW114_bcHLUP	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcHONA	14	0	3	65	67	64	0	28	0	5
f3_DEW114_bcHUAN	0	0	3	3	3	3	3	3	0	3
f3_DEW114_bcHVZN	0	0	3	58	59	57	50	66	0	3
f3_DEW114_bcHWCK	2	2	2	2	2	2	2	2	2	2
f3_DEW114_bcICAV	0	0	9	0	0	0	0	74	0	7
f3_DEW114_bcIJUF	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcAAPC	5	5	6	6	6	6	6	6	4	7
f3_DEW115_bcACKO	0	0	3	46	47	44	40	50	26	3
f3_DEW115_bcAEJM	24	23	8	45	46	65	56	73	0	13
f3_DEW115_bcAGVD	32	0	8	0	0	66	0	75	0	13
f3_DEW115_bcAHWR	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcAJSQ	0	0	9	64	66	52	44	60	31	10
f3_DEW115_bcAKAC	0	0	3	11	0	11	11	11	6	3
f3_DEW115_bcALIA	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcALQG	48	34	33	66	68	67	57	76	38	27
f3_DEW115_bcATMX	0	0	9	20	20	20	0	22	0	10
f3_DEW115_bcAYUY	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcAZGT	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcBDGS	0	0	7	67	69	68	58	77	0	26
f3_DEW115_bcBFWQ	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcBGNE	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcBJTA	0	0	3	11	0	11	11	11	6	3
f3_DEW115_bcBKNK	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcBKWZ	22	0	8	18	33	32	28	35	15	13
f3_DEW115_bcBQCG	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcCHOX	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcCHPM	5	5	6	6	6	6	6	6	4	7
f3_DEW115_bcCINN	0	0	9	0	0	0	0	74	0	7
f3_DEW115_bcCLBC	23	15	19	34	36	35	31	38	18	10
f3_DEW115_bcCMLF	5	5	6	6	6	6	6	6	4	7
f3_DEW115_bcCPLQ	13	0	9	18	17	18	0	19	0	8
f3_DEW115_bcCPRA	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcCPUF	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcCROJ	6	0	7	9	9	9	9	9	0	9
f3_DEW115_bcCVQH	29	0	8	40	42	41	36	45	23	23
f3_DEW115_bcCWOB	5	5	6	6	6	6	6	6	4	7
f3_DEW115_bcDEFO	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcDGFJ	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcDGQQ	0	0	7	0	65	69	0	78	0	8
f3_DEW115_bcDLJR	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcDNBP	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcDOJI	49	35	34	64	66	52	44	60	31	3
f3_DEW115_bcDPUG	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcDQKQ	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcDTBU	7	10	13	23	51	47	43	55	28	17
f3_DEW115_bcDYJV	17	11	15	25	25	25	22	27	0	18
f3_DEW115_bcDZAU	29	0	8	40	42	41	36	45	23	23
f3_DEW115_bcEAXE	0	0	3	11	0	11	11	11	6	3
f3_DEW115_bcECYA	7	36	35	68	70	70	0	79	39	0
f3_DEW115_bcEDWL	29	0	8	40	42	41	36	45	23	23
f3_DEW115_bcEICL	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcEKJV	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcEKKM	0	0	9	0	0	0	0	0	0	7
f3_DEW115_bcELMI	19	19	8	15	14	15	14	16	0	3
f3_DEW115_bcEMKS	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcEPBG	30	0	3	64	66	52	44	60	31	3
f3_DEW115_bcEQBJ	0	0	3	11	0	11	11	11	6	3
f3_DEW115_bcESWP	34	25	8	48	49	45	0	52	0	3
f3_DEW115_bcEVPS	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcEYLB	50	37	8	10	10	10	10	10	0	3
f3_DEW115_bcEYLW	50	37	8	10	10	10	10	10	0	3
f3_DEW115_bcEYUZ	50	37	8	10	10	10	10	10	0	3
f3_DEW115_bcFDOQ	51	0	7	0	0	0	0	0	0	28
f3_DEW115_bcFJJF	52	0	8	0	0	0	0	14	0	13
f3_DEW115_bcFNDS	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcFNEH	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcFPES	4	4	5	5	5	5	5	5	3	5
f3_DEW115_bcFRKR	0	0	9	64	66	52	44	60	31	26
f3_DEW115_bcFRNO	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcFSUV	0	0	3	15	14	15	14	16	0	3
f3_DEW115_bcFTTF	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcFXLZ	0	0	3	0	0	0	0	49	0	3
f3_DEW115_bcFZGC	53	38	36	69	71	71	59	80	40	29
f3_DEW115_bcFZVM	0	0	3	15	14	15	14	16	0	3
f3_DEW115_bcGALZ	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcGBCX	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcGCRB	24	23	8	44	45	43	39	48	25	13
f3_DEW115_bcGIEQ	0	0	9	20	20	20	0	81	0	7
f3_DEW115_bcGILK	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcGMOB	0	0	9	0	0	0	0	0	0	7
f3_DEW115_bcGNII	29	32	31	62	64	61	0	70	35	23
f3_DEW115_bcGOAF	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcGQIZ	13	0	9	18	17	18	0	19	0	8
f3_DEW115_bcGRUA	2	2	2	2	2	2	2	2	2	2
