V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16
cell_197	0	2	2	5	0	5	19	2	3	0	5	2	0	2	0	0
cell_96	0	2	0	5	7	21	0	2	2	0	0	9	0	2	0	0
cell_1388	0	0	2	3	0	0	5	2	2	0	2	2	2	2	0	0
cell_1397	0	2	2	0	2	0	0	0	2	5	2	2	2	2	0	0
cell_613	2	0	0	5	0	2	2	0	4	0	0	0	0	0	0	0
cell_965	0	0	0	5	0	3	2	0	15	5	0	0	0	6	0	0
cell_549	0	0	0	5	0	0	0	0	0	0	0	2	0	0	5	2
cell_1203	3	0	12	0	0	0	0	0	12	0	0	0	2	2	0	0
cell_968	0	0	0	5	0	3	2	0	15	5	0	0	0	0	13	0
cell_1879	2	0	57	0	0	0	0	0	0	0	0	0	2	2	0	2
cell_1419	0	0	0	0	0	0	0	2	2	0	0	0	2	2	2	2
cell_879	2	0	0	5	0	0	2	0	2	0	0	0	2	6	0	0
cell_1562	2	0	0	0	0	0	2	0	20	0	0	0	2	2	0	0
cell_803	2	9	0	5	0	0	2	0	0	2	0	0	0	6	2	5
cell_266	28	2	3	5	2	2	2	0	0	0	0	2	0	0	0	0
cell_1955	2	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0
cell_508	28	2	2	5	0	2	0	0	2	11	2	0	3	0	0	0
cell_1381	0	0	2	3	0	3	0	0	2	0	2	2	2	2	0	0
cell_389	28	2	2	5	0	2	0	0	2	0	0	0	0	0	0	0
cell_1598	0	0	5	5	21	0	2	0	0	0	0	0	2	2	0	0
cell_1247	2	2	3	0	0	0	5	3	0	0	0	0	2	2	0	0
cell_1488	0	0	3	0	0	0	0	2	2	2	0	0	2	2	15	0
cell_396	28	2	2	5	2	2	0	0	2	0	0	2	3	0	0	0
cell_1940	2	0	0	0	0	3	0	0	0	0	0	0	2	2	6	0
cell_66	0	2	5	5	2	21	0	2	0	0	0	0	0	2	0	2
cell_288	28	2	0	5	2	2	0	0	0	0	10	0	0	0	0	2
cell_1338	0	0	0	0	11	0	0	0	2	0	0	2	2	2	0	0
cell_710	5	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0
cell_1557	2	0	0	0	5	0	2	0	0	2	0	0	2	2	0	0
cell_345	28	2	0	5	0	2	0	2	2	3	0	0	0	12	0	0
cell_312	28	2	0	5	0	2	3	0	0	0	15	0	0	0	0	0
cell_772	2	0	0	5	0	5	2	8	2	0	0	0	0	6	0	0
cell_534	2	0	5	5	0	8	0	0	0	0	0	0	0	0	5	2
cell_376	28	2	0	5	0	2	2	0	2	0	4	0	0	0	2	0
cell_1707	0	0	0	12	0	0	2	0	0	0	0	2	2	2	2	0
cell_316	28	2	0	5	0	2	0	0	2	0	0	0	0	2	0	0
cell_1428	0	0	0	0	0	5	0	2	2	0	0	0	2	2	2	0
cell_1415	0	0	0	0	0	0	0	2	2	0	3	0	2	2	2	0
cell_1659	0	0	0	0	0	0	2	0	0	0	2	0	2	2	0	3
cell_1023	0	0	0	5	0	0	2	0	15	0	0	0	0	0	0	0
cell_615	2	0	0	5	0	2	2	0	0	0	0	0	0	0	0	0
cell_1364	0	0	2	0	0	0	0	0	2	0	0	2	2	2	0	0
cell_1339	0	0	2	0	11	0	0	0	2	0	0	0	2	2	0	0
cell_1335	0	0	0	0	0	0	0	0	2	0	0	2	2	2	0	0
cell_114	0	2	0	5	0	21	0	2	0	5	3	0	0	0	0	0
cell_1867	2	3	57	2	2	0	0	0	0	0	0	0	2	2	3	2
cell_1825	2	0	57	0	0	0	0	0	0	2	2	0	2	2	0	2
cell_679	2	0	0	5	0	0	0	0	2	0	0	0	3	2	2	0
cell_435	28	2	0	5	0	2	0	0	2	0	0	0	0	0	0	0
cell_2031	2	0	0	0	0	0	3	0	0	2	2	2	2	2	0	0
cell_706	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0
cell_823	2	9	0	5	0	3	2	0	0	2	0	0	0	6	2	0
cell_770	2	0	0	5	0	5	2	8	2	0	0	0	0	6	0	0
cell_951	0	0	0	5	4	0	2	0	15	0	0	2	0	0	0	0
cell_1000	0	0	0	5	0	0	2	2	15	0	0	0	0	0	0	0
cell_750	0	0	0	5	2	0	0	0	0	0	0	0	0	0	4	0
cell_309	28	2	0	5	0	2	0	8	0	0	0	0	0	0	0	0
cell_1485	0	0	3	0	0	0	0	2	2	2	0	0	2	2	15	0
cell_343	28	2	0	5	0	2	0	0	2	0	0	0	0	12	0	0
cell_1006	2	0	0	5	0	0	2	0	15	0	12	0	0	0	0	0
cell_118	0	2	0	5	0	21	0	2	0	0	0	0	0	6	2	0
cell_1621	0	0	0	0	0	5	2	0	0	0	0	11	2	2	0	5
cell_672	0	0	0	5	0	0	0	0	2	0	2	0	0	2	0	2
cell_371	28	2	0	5	0	2	0	0	2	0	0	0	0	0	2	0
cell_400	28	2	2	5	0	2	2	0	2	0	0	2	0	0	0	0
cell_1882	2	0	57	0	3	0	0	0	0	0	0	0	2	2	0	2
cell_482	28	2	2	5	0	2	0	0	2	0	0	0	0	0	0	0
cell_1762	0	0	0	0	6	0	2	5	2	0	2	2	2	2	0	0
cell_1259	2	2	2	0	0	0	5	0	0	0	2	2	2	2	0	5
cell_1999	2	0	0	0	0	5	3	0	0	0	0	0	2	2	0	0
cell_1304	0	0	2	2	0	0	0	8	2	2	0	0	2	2	0	0
cell_1684	0	0	0	0	0	0	2	0	0	3	0	5	2	2	2	2
cell_1267	0	2	2	2	0	8	5	4	0	0	0	0	2	2	0	0
cell_1788	0	0	5	0	0	0	2	0	0	0	2	0	2	2	0	2
cell_518	2	0	0	5	0	0	5	0	0	0	0	0	0	0	5	0
cell_121	0	2	0	5	0	21	0	2	0	0	0	0	0	0	0	0
cell_1949	2	0	0	0	0	3	0	0	0	21	0	0	2	2	6	0
cell_1357	10	0	2	0	0	0	0	0	2	2	3	2	2	2	0	19
cell_1151	0	2	0	0	0	0	0	0	0	5	0	0	2	2	0	2
cell_458	28	2	0	5	4	2	0	0	2	0	0	0	12	0	0	0
cell_337	28	2	0	5	0	2	0	0	2	0	0	0	0	12	0	0
cell_1939	2	0	0	0	0	3	0	0	0	0	0	0	2	2	6	0
cell_497	28	2	2	5	0	2	0	0	2	0	0	8	0	0	0	0
cell_976	0	0	0	5	0	3	2	2	15	5	0	0	0	0	0	0
cell_882	2	0	3	5	0	8	2	3	2	0	0	0	0	6	0	0
cell_1623	0	0	0	0	0	0	2	0	0	0	0	11	2	2	0	5
cell_666	0	0	0	5	0	0	0	2	2	0	0	0	0	2	0	0
cell_1957	2	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0
cell_1150	0	2	0	0	0	0	0	0	0	5	0	0	2	2	0	2
cell_914	0	0	0	5	5	3	2	0	15	0	0	0	0	0	0	0
cell_1585	0	0	11	0	0	0	2	2	0	0	0	0	2	2	2	0
cell_1030	0	0	0	0	2	0	0	0	2	0	0	0	2	2	19	2
cell_912	2	0	0	5	0	13	2	0	15	20	5	0	3	0	0	0
cell_796	2	0	0	5	0	0	2	8	2	0	2	0	0	6	2	0
cell_1996	2	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0
cell_293	28	2	0	5	0	2	2	2	0	5	2	2	0	0	0	2
cell_737	3	0	0	5	0	0	0	0	0	53	0	0	0	0	4	0
cell_172	10	2	0	5	0	0	2	0	3	0	0	0	21	0	0	0
cell_1320	0	0	0	0	0	2	2	0	2	0	0	0	2	2	0	0
cell_194	0	2	0	5	0	5	19	2	3	0	5	2	0	2	0	0
cell_1828	2	0	57	0	0	0	0	0	0	2	2	0	2	2	0	2
cell_1475	0	0	0	48	5	0	0	0	2	2	0	0	2	2	0	0
cell_171	10	2	0	5	0	0	2	0	3	0	0	0	21	0	0	0
cell_1665	0	0	0	0	11	2	2	2	0	0	2	0	2	2	0	5
cell_954	2	2	0	5	0	2	2	0	15	0	0	2	0	0	0	0
cell_83	0	2	0	5	0	21	0	2	0	0	0	0	0	0	0	0
cell_1889	2	0	57	0	0	0	0	0	0	0	0	0	2	2	0	2
cell_1077	0	0	0	0	0	0	0	0	0	0	0	5	2	2	19	2
cell_2018	2	0	0	0	0	0	3	0	0	2	0	0	2	2	0	0
cell_928	0	0	0	5	0	0	2	0	15	0	0	40	0	0	0	4
cell_43	0	2	0	5	2	21	0	0	0	0	0	0	2	2	0	0
cell_1840	2	0	57	0	0	0	0	0	0	2	2	0	2	2	0	2
cell_1869	2	3	57	0	2	2	0	0	0	0	0	0	2	2	3	2
cell_782	2	0	0	5	0	0	2	8	2	0	0	12	0	6	0	0
cell_725	0	5	2	5	0	0	0	0	0	0	0	0	0	2	4	0
cell_1327	3	2	0	0	0	0	0	0	2	0	2	0	2	2	0	0
cell_1574	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0
cell_599	0	5	0	5	0	2	0	0	0	0	0	0	0	0	0	0
cell_1625	0	0	0	0	0	0	2	0	0	2	0	11	2	2	0	5
cell_1433	0	0	0	0	9	2	14	2	2	0	2	0	2	2	3	2
cell_510	28	2	2	5	0	2	0	0	2	11	2	0	3	0	0	0
cell_221	0	2	4	5	0	0	19	2	0	0	5	2	0	2	0	0
cell_1088	0	0	0	0	0	0	0	0	0	4	0	0	2	2	19	2
cell_65	0	2	5	5	2	21	0	2	0	0	0	0	0	2	0	2
cell_437	28	2	0	5	0	2	0	0	2	0	0	0	108	0	0	0
cell_1946	2	0	5	4	0	3	0	4	0	0	0	2	2	2	6	0
cell_540	2	2	0	5	0	2	2	0	0	0	0	0	0	0	5	0
cell_642	0	0	3	5	0	0	8	0	2	0	0	5	0	2	0	0
cell_77	2	2	0	5	0	21	0	2	0	0	0	0	0	2	0	0
cell_1286	0	0	0	2	0	0	3	2	2	0	2	0	2	2	4	0
cell_5	0	2	2	5	2	21	2	0	0	0	0	0	0	2	0	0
cell_1677	0	0	0	0	0	2	2	2	0	3	0	0	2	2	0	0
cell_1708	0	0	0	12	0	0	2	0	0	0	0	2	2	2	2	0
cell_87	0	2	0	5	2	21	0	2	0	0	0	0	0	0	2	2
cell_503	28	2	2	5	0	2	0	0	2	0	0	0	5	0	0	0
cell_623	2	0	0	5	0	2	2	0	0	0	0	3	2	2	0	0
cell_1256	0	2	2	0	0	2	5	0	0	0	0	0	2	2	0	0
cell_200	0	2	0	5	0	5	19	2	3	0	5	2	0	2	0	0
cell_981	0	4	0	5	0	3	2	0	15	0	0	0	0	0	5	0
cell_2007	2	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0
cell_347	28	2	0	5	0	2	0	2	2	3	0	0	2	12	0	0
cell_1960	2	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0
cell_398	28	2	2	5	0	2	0	0	2	0	0	2	0	0	0	0
cell_1212	3	0	12	0	14	0	0	0	0	0	0	0	2	2	0	0
cell_1313	2	0	0	2	0	2	0	0	2	0	0	0	2	2	0	0
cell_1376	0	0	2	0	5	0	4	0	2	0	0	2	2	2	0	0
cell_1679	0	0	0	0	0	2	2	2	0	3	5	0	2	2	0	0
cell_1107	0	2	8	0	0	0	5	0	0	0	0	0	2	2	0	2
cell_1495	0	2	0	0	0	0	0	0	2	2	0	0	2	2	0	4
cell_1109	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	2
cell_1746	0	0	0	0	5	5	2	0	2	2	2	2	2	2	5	0
cell_1699	3	0	0	12	0	0	2	0	0	0	0	2	2	2	2	59
cell_1243	2	2	0	0	0	5	5	3	0	49	0	0	2	2	0	0
cell_992	2	0	0	5	0	3	2	2	15	0	0	0	4	0	0	2
cell_1954	2	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0
cell_2045	2	0	0	5	0	0	3	0	2	0	5	3	2	2	0	0
cell_653	0	3	0	5	0	0	0	0	2	2	0	0	0	2	0	0
cell_131	2	2	0	5	4	0	0	0	0	3	5	0	0	0	0	0
cell_524	2	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0
cell_972	0	0	0	5	0	3	2	0	15	5	0	0	20	5	0	0
cell_1727	0	0	0	0	0	0	2	0	3	3	0	2	2	2	2	0
cell_794	2	0	0	5	0	0	2	8	2	0	2	0	0	6	2	0
cell_988	0	0	0	5	0	3	2	2	15	0	0	0	4	0	0	0
cell_479	28	2	0	5	4	2	0	0	2	0	0	2	0	0	0	0
cell_1365	0	2	2	0	0	0	0	0	2	0	0	2	2	2	0	0
cell_237	0	2	0	5	0	0	19	0	0	0	0	2	0	2	0	0
cell_664	0	0	0	5	0	0	2	4	2	0	0	0	0	2	0	0
cell_1943	2	0	0	0	0	3	0	0	0	0	0	0	2	2	6	0
cell_1272	0	2	2	0	0	6	5	4	0	0	0	0	2	2	0	0
cell_1022	0	0	0	5	0	0	2	0	15	0	2	0	0	0	0	2
cell_11	0	2	0	5	2	21	0	0	0	0	0	0	0	0	0	0
cell_1838	2	0	57	0	0	0	0	0	0	2	2	0	2	2	0	2
cell_724	0	0	2	5	0	4	0	9	0	0	0	0	0	0	4	0
cell_649	0	0	2	5	0	0	0	0	2	2	5	0	0	2	0	0
cell_910	2	0	0	5	0	13	2	0	15	0	5	0	3	0	0	0
cell_1737	0	0	0	0	0	0	2	2	0	0	2	2	2	2	0	0
cell_1081	0	0	0	0	0	0	0	0	0	0	2	0	2	2	19	2
cell_1603	0	0	0	0	0	0	2	0	0	0	4	11	2	2	0	0
cell_466	28	2	0	5	4	2	0	0	2	0	0	0	0	0	2	0
cell_1555	2	0	0	0	5	0	2	0	0	0	0	0	2	2	0	0
cell_1219	0	2	0	0	0	0	5	0	0	5	0	0	2	2	0	0
cell_533	2	0	5	5	0	8	0	0	0	0	0	0	0	0	5	2
cell_730	0	0	0	5	0	0	0	0	2	0	0	7	0	0	4	0
cell_990	2	0	0	5	0	3	2	0	15	0	0	0	4	0	0	0
cell_411	28	2	2	5	0	2	4	2	2	0	2	2	0	0	3	0
cell_1622	0	0	0	0	0	5	2	0	0	0	0	11	2	2	0	5
