"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"cell_1003","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_96","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_406","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_230","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_444","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_22","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","2"
"cell_806","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_129","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_92","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_441","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_310","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_953","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_641","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_689","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_750","5","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_416","-","-","-","-","-","-","-","-","-","5","-","-","-","-","-","-"
"cell_789","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_182","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","0"
"cell_951","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_664","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_848","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_645","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_128","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","12"
"cell_156","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_362","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_458","-","-","-","-","-","-","-","-","-","5","-","-","-","-","3","4"
"cell_281","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_329","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_631","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_724","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_948","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_95","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_276","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_644","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_568","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_597","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","14"
"cell_742","5","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_243","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_514","0","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_257","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_489","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_425","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_825","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_320","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_98","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","2"
"cell_941","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_107","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","2"
"cell_122","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","12"
"cell_186","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","0"
"cell_421","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_242","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_383","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_118","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","12"
"cell_345","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_52","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_728","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_937","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_527","8","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_106","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","2"
"cell_361","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_26","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_594","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_730","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_933","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_572","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_332","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_501","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_334","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_415","-","-","-","-","-","-","-","-","-","5","-","-","-","-","0","2"
"cell_226","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_450","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","4"
"cell_111","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","2"
"cell_174","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","0"
"cell_94","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_164","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","0"
"cell_104","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","2"
"cell_1001","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_18","-","-","-","-","-","-","-","-","-","4","-","-","-","-","2","2"
"cell_823","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_962","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_798","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_561","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_316","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_872","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_892","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_883","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_418","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_309","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_707","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_984","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_602","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","8"
"cell_349","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_259","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_219","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_287","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_422","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_370","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_824","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_538","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_570","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_244","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_495","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_209","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_778","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_617","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_904","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_587","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_638","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_2","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_483","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_694","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_693","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_343","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_844","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_231","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_258","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_1024","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_191","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","0"
"cell_874","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_916","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_542","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_633","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_990","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_490","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_53","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_166","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","0"
"cell_116","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","12"
"cell_414","-","-","-","-","-","-","-","-","-","5","-","-","-","-","-","-"
"cell_149","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_9","-","-","-","-","-","-","-","-","-","0","-","-","-","-","2","2"
"cell_573","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_684","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_217","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_299","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_781","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_393","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_307","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_564","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_997","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_91","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_12","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_826","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_507","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_939","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_62","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_661","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_679","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_619","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_190","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","16"
"cell_585","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
